priority_level,manufacturer,model,slug,registry_tier,n_missing,missing_fields
1,ASV,RT-110,asv_rt110,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,ASV,RT-120,asv_rt120,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,ASV,RT-40,asv_rt40,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,ASV,RT-50,asv_rt50,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,ASV,RT-65,asv_rt65,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Bobcat,T190,bobcat_t190,production,1,bucket_hinge_pin_height_in
1,Bobcat,T300,bobcat_t300,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Bobcat,T320,bobcat_t320,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Bobcat,T450,bobcat_t450,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Bobcat,T550,bobcat_t550,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Bobcat,T590,bobcat_t590,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Bobcat,T595,bobcat_t595,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Bobcat,T650,bobcat_t650,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Bobcat,T66,bobcat_t66,production,1,bucket_hinge_pin_height_in
1,Bobcat,T740,bobcat_t740,production_candidate,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Bobcat,T750,bobcat_t750,production,1,bucket_hinge_pin_height_in
1,Bobcat,T76,bobcat_t76,production,1,bucket_hinge_pin_height_in
1,Bobcat,T770,bobcat_t770,production,1,bucket_hinge_pin_height_in
1,Bobcat,T86,bobcat_t86,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Bobcat,T870,bobcat_t870,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Case,TR270B,case_tr270b,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Case,TR310,case_tr310,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Case,TR310B,case_tr310b,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Case,TR320,case_tr320,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Case,TR340,case_tr340,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Case,TR340B,case_tr340b,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Case,TV370B,case_tv370b,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Case,TV380,case_tv380,production,2,width_over_tires_in; bucket_hinge_pin_height_in
1,Case,TV450,case_tv450,production,2,width_over_tires_in; bucket_hinge_pin_height_in
